Time id,Material,Material_Id,Quantity,Total_Value
9,E11-200-001,34342.0,13.0,1048203.0
10,E11-200-001,34342.0,28.0,2257668.0
11,E11-200-001,34342.0,38.0,2978019.05999999
12,E11-200-001,34342.0,42.0,3275484.94
13,E11-200-001,34342.0,32.0,2519632.0
14,E11-200-001,34342.0,39.0,3179956.9
15,E11-200-001,34342.0,29.0,2348805.31
16,E11-200-001,34342.0,34.0,2793790.79
17,E11-200-001,34342.0,39.0,3256820.26999999
18,E11-200-001,34342.0,47.0,3951778.78
19,E11-200-001,34342.0,43.0,3647538.09
20,E11-200-001,34342.0,48.0,4087568.0
21,E11-200-001,34342.0,54.0,4593967.39
22,E11-200-001,34342.0,43.0,3661450.0
23,E11-200-001,34342.0,73.0,6183870.99999999
24,E11-200-001,34342.0,54.0,4536920.29
25,E11-200-001,34342.0,43.0,3597926.94999999
26,E11-200-001,34342.0,45.0,3766044.67999999
27,E11-200-001,34342.0,62.0,5190350.40999999
28,E11-200-001,34342.0,39.0,3279041.0
29,E11-200-001,34342.0,66.0,5623377.93
30,E11-200-001,34342.0,44.0,3755924.94
31,E11-200-001,34342.0,50.0,4268855.13
32,E11-200-001,34342.0,41.0,3492682.0
33,E11-200-001,34342.0,48.0,4087685.34
34,E11-200-001,34342.0,44.0,3797024.66
35,E11-200-001,34342.0,75.0,6529910.77
36,E11-200-001,34342.0,65.0,5661045.0
37,E11-200-001,34342.0,28.0,2438604.0
38,E11-200-001,34342.0,58.0,5040197.0
1,C87-200433,34313.0,9.0,1372846.88
2,C87-200433,34313.0,17.0,2623232.95
3,C87-200433,34313.0,14.0,2178496.69999999
4,C87-200433,34313.0,10.0,1576312.57
6,C87-200433,34313.0,6.0,951301.419999999
7,C87-200433,34313.0,14.0,2254429.38
8,C87-200433,34313.0,13.0,2119856.72
9,C87-200433,34313.0,7.0,1164099.39
10,C87-200433,34313.0,11.0,1847447.91
11,C87-200433,34313.0,8.0,1370297.02
12,C87-200433,34313.0,11.0,1903026.44
13,C87-200433,34313.0,16.0,2842189.23
14,C87-200433,34313.0,12.0,2140451.96
15,C87-200433,34313.0,9.0,1622067.78
16,C87-200433,34313.0,9.0,1615492.56
17,C87-200433,34313.0,10.0,1795366.29999999
18,C87-200433,34313.0,23.0,4454456.82
19,C87-200433,34313.0,28.0,5481692.96
20,C87-200433,34313.0,18.0,3539234.39999999
21,C87-200433,34313.0,18.0,3558774.76
22,C87-200433,34313.0,10.0,1990240.49
23,C87-200433,34313.0,9.0,1786892.6
24,C87-200433,34313.0,11.0,2147599.11
25,C87-200433,34313.0,12.0,2340452.15
26,C87-200433,34313.0,11.0,2133933.71999999
27,C87-200433,34313.0,13.0,2517155.26
28,C87-200433,34313.0,9.0,1738424.34
29,C87-200433,34313.0,22.0,4226600.9
30,C87-200433,34313.0,11.0,2111313.19
31,C87-200433,34313.0,12.0,2286422.29
32,C87-200433,34313.0,13.0,2458797.66
33,C87-200433,34313.0,17.0,3212434.67
34,C87-200433,34313.0,10.0,1886731.11999999
35,C87-200433,34313.0,12.0,2199649.51
36,C87-200433,34313.0,14.0,2483077.55999999
37,C87-200433,34313.0,8.0,1408259.58999999
38,C87-200433,34313.0,7.0,1229826.98
1,S02-060380,34400.0,122.0,1692707.42
2,S02-060380,34400.0,160.0,2193244.0
3,S02-060380,34400.0,150.0,2055695.39999999
4,S02-060380,34400.0,128.0,1754290.09999999
6,S02-060380,34400.0,128.0,1756917.63999999
7,S02-060380,34400.0,184.0,2526166.08
8,S02-060380,34400.0,144.0,1976869.75999999
9,S02-060380,34400.0,118.0,1619010.96
10,S02-060380,34400.0,130.0,1782910.14
11,S02-060380,34400.0,156.0,2138937.3
12,S02-060380,34400.0,160.0,2193483.51999999
13,S02-060380,34400.0,156.0,2138238.46
14,S02-060380,34400.0,116.0,1587644.7
15,S02-060380,34400.0,132.0,1806658.99999999
16,S02-060380,34400.0,120.0,1642444.0
17,S02-060380,34400.0,164.0,2244786.32
18,S02-060380,34400.0,166.0,2272175.6
19,S02-060380,34400.0,232.0,3175588.76
20,S02-060380,34400.0,230.0,3148231.91999999
21,S02-060380,34400.0,194.0,2655467.95999999
22,S02-060380,34400.0,170.0,2326958.29999999
23,S02-060380,34400.0,186.0,2545967.21999999
24,S02-060380,34400.0,182.0,2491216.0
25,S02-060380,34400.0,132.0,1806816.0
26,S02-060380,34400.0,160.0,2190081.96
27,S02-060380,34400.0,180.0,2463844.5
28,S02-060380,34400.0,162.0,2199791.9
29,S02-060380,34400.0,176.0,2382175.34
30,S02-060380,34400.0,168.0,2255219.03999999
31,S02-060380,34400.0,144.0,1927815.83999999
32,S02-060380,34400.0,140.0,1867633.59999999
33,S02-060380,34400.0,176.0,2340477.34
34,S02-060380,34400.0,156.0,2074652.63999999
35,S02-060380,34400.0,206.0,2706687.44
36,S02-060380,34400.0,148.0,1924356.26
37,S02-060380,34400.0,104.0,1348196.71999999
38,S02-060380,34400.0,184.0,2383147.26
1,S02-060352,34400.0,122.0,1699668.96
2,S02-060352,34400.0,160.0,2194119.0
3,S02-060352,34400.0,146.0,2001864.11999999
4,S02-060352,34400.0,132.0,1810388.95999999
6,S02-060352,34400.0,124.0,1703525.4
7,S02-060352,34400.0,184.0,2528220.8
8,S02-060352,34400.0,144.0,1978749.48
9,S02-060352,34400.0,118.0,1620217.33999999
10,S02-060352,34400.0,130.0,1783909.07999999
11,S02-060352,34400.0,154.0,2112472.52
12,S02-060352,34400.0,160.0,2194348.8
13,S02-060352,34400.0,154.0,2111361.15999999
14,S02-060352,34400.0,116.0,1589389.96
15,S02-060352,34400.0,130.0,1780940.05999999
16,S02-060352,34400.0,120.0,1643681.11999999
17,S02-060352,34400.0,164.0,2245296.49999999
18,S02-060352,34400.0,166.0,2272532.06
19,S02-060352,34400.0,232.0,3175871.0
20,S02-060352,34400.0,230.0,3148318.36
21,S02-060352,34400.0,194.0,2655514.68
22,S02-060352,34400.0,170.0,2327757.05999999
23,S02-060352,34400.0,186.0,2548104.43999999
24,S02-060352,34400.0,182.0,2492458.0
25,S02-060352,34400.0,132.0,1807383.83999999
26,S02-060352,34400.0,158.0,2163290.43999999
27,S02-060352,34400.0,180.0,2464474.18
28,S02-060352,34400.0,162.0,2198857.8
29,S02-060352,34400.0,176.0,2381594.88
30,S02-060352,34400.0,168.0,2240683.92
31,S02-060352,34400.0,146.0,1941417.48
32,S02-060352,34400.0,140.0,1861633.2
33,S02-060352,34400.0,176.0,2339914.78
34,S02-060352,34400.0,156.0,2073422.49999999
35,S02-060352,34400.0,204.0,2696789.58
36,S02-060352,34400.0,148.0,1927542.2
37,S02-060352,34400.0,102.0,1326397.92
38,S02-060352,34400.0,184.0,2388849.74
1,S01-070021,34392.0,21.0,840000.44
2,S01-070021,34392.0,24.0,1037619.21
3,S01-070021,34392.0,35.0,1601619.05
4,S01-070021,34392.0,16.0,736000.0
6,S01-070021,34392.0,21.0,966000.0
7,S01-070021,34392.0,17.0,779090.919999999
8,S01-070021,34392.0,19.0,869109.919999999
9,S01-070021,34392.0,23.0,1057799.16
10,S01-070021,34392.0,25.0,1150000.0
11,S01-070021,34392.0,31.0,1426000.0
12,S01-070021,34392.0,27.0,1236000.15
13,S01-070021,34392.0,23.0,1058000.0
14,S01-070021,34392.0,25.0,1148500.0
15,S01-070021,34392.0,24.0,1104000.0
16,S01-070021,34392.0,16.0,734542.96
17,S01-070021,34392.0,18.0,825506.87
18,S01-070021,34392.0,33.0,1516882.35
