Time id,Material,Material_Id,Quantity,Total_Value
7,S21-010448-04,41504.0,9.0,3615772.83
8,S21-010448-04,41504.0,19.0,7418193.3
9,S21-010448-04,41504.0,17.0,6579470.22
10,S21-010448-04,41504.0,9.0,3425975.42
11,S21-010448-04,41504.0,7.0,2673483.99
12,S21-010448-04,41504.0,25.0,9481407.38
13,S21-010448-04,41504.0,24.0,9094652.29
14,S21-010448-04,41504.0,17.0,6712637.57
15,S21-010448-04,41504.0,15.0,5931082.81
16,S21-010448-04,41504.0,7.0,2692475.29
17,S21-010448-04,41504.0,9.0,3512018.73
18,S21-010448-04,41504.0,19.0,7269502.52
19,S21-010448-04,41504.0,15.0,5741664.37
20,S21-010448-04,41504.0,7.0,2679539.98
21,S21-010448-04,41504.0,25.0,9006242.67
22,S21-010448-04,41504.0,17.0,6200538.07
23,S21-010448-04,41504.0,19.0,6864287.79
24,S21-010448-04,41504.0,18.0,6511613.68999999
25,S21-010448-04,41504.0,26.0,9462987.92999999
26,S21-010448-04,41504.0,37.0,13520225.3899999
27,S21-010448-04,41504.0,33.0,11860935.2399999
28,S21-010448-04,41504.0,30.0,10634094.79
29,S21-010448-04,41504.0,21.0,7531371.02
30,S21-010448-04,41504.0,24.0,8693697.43
31,S21-010448-04,41504.0,24.0,8758278.32
32,S21-010448-04,41504.0,16.0,5996512.82
33,S21-010448-04,41504.0,21.0,7972932.02
34,S21-010448-04,41504.0,11.0,3956800.0
35,S21-010448-04,41504.0,6.0,2135565.55
36,S21-010448-04,41504.0,3.0,1066712.82
17,S21-230126-06,41511.0,11.0,5203000.0
18,S21-230126-06,41511.0,10.0,4730000.0
19,S21-230126-06,41511.0,18.0,8578400.0
20,S21-230126-06,41511.0,17.0,8147260.01
21,S21-230126-06,41511.0,17.0,8193662.63
22,S21-230126-06,41511.0,16.0,7663545.69
23,S21-230126-06,41511.0,15.0,5443144.33
24,S21-230126-06,41511.0,29.0,15078199.16
25,S21-230126-06,41511.0,7.0,3337653.12
26,S21-230126-06,41511.0,7.0,3321410.38999999
27,S21-230126-06,41511.0,19.0,9181824.24
