Time id,Material,Quantity,Total_Value,Material_Id
25,C01-100100,36,103682.34,108
26,C01-100100,50,141327.78,108
27,C01-100100,19,52976.75,108
28,C01-100100,10,27916.67,108
29,C01-100100,13,36256.55,108
30,C01-100100,12,33411.84,108
31,C01-100100,16,44548.24,108
32,C01-100100,18,50124.17,108
33,C01-100100,14,38987.93,108
34,C01-100100,18,49977,108
35,C01-100100,8,22213.61,108
36,C01-100100,33,91629.56,108
37,C01-100100,56,155495.42,108
38,C01-100100,48,133276,108
25,C06-501311,38,61026.47,719
26,C06-501311,22,34923.23,719
27,C06-501311,38,60182.87,719
28,C06-501311,30,47541.72,719
29,C06-501311,40,63740,719
30,C06-501311,30,48092.35,719
31,C06-501311,41,65249.56,719
32,C06-501311,35,55361.17,719
33,C06-501311,40,63200,719
34,C06-501311,37,58460,719
35,C06-501311,19,30020,719
36,C06-501311,21,33180,719
37,C06-501311,18,28440,719
38,C06-501311,28,44240,719
25,C06-700217,2,29792.35,797
26,C06-700217,4,58633.44,797
27,C06-700217,1,14658.36,797
28,C06-700217,2,28761.09,797
29,C06-700217,2,28403.64,797
30,C06-700217,3,41992.47,797
31,C06-700217,8,111960.2,797
32,C06-700217,1,13995.03,797
33,C06-700217,2,27544.29,797
34,C06-700217,6,82564.29,797
35,C06-700217,5,68787.25,797
36,C06-700217,7,96302.15,797
37,C06-700217,6,82542.24,797
38,C06-700217,3,41269.89,797
25,C07-500328,40,116199.31,884
26,C07-500328,33,90750,884
27,C07-500328,28,76373.6,884
28,C07-500328,23,63083.19,884
29,C07-500328,16,43267.84,884
30,C07-500328,28,74863.04,884
31,C07-500328,30,80066.96,884
32,C07-500328,23,60763.22,884
33,C07-500328,30,81432.47,884
34,C07-500328,23,64082.71,884
35,C07-500328,30,80919.29,884
36,C07-500328,38,100384.54,884
37,C07-500328,26,68203.77,884
38,C07-500328,26,68069.18,884
25,C37-000235,10,39671.61,1663
26,C37-000235,18,72069.3,1663
27,C37-000235,5,20513.76,1663
28,C37-000235,8,32610.44,1663
29,C37-000235,15,61106.78,1663
30,C37-000235,34,130887.97,1663
31,C37-000235,21,82339.73,1663
32,C37-000235,19,75039.67,1663
33,C37-000235,30,120445.14,1663
34,C37-000235,16,64337.14,1663
35,C37-000235,14,56604.76,1663
36,C37-000235,31,124953.56,1663
