Time id,Material,Quantity,Total_Value,Material_Id
25,C24-100504,5,69876.88,1311
25,C24-700110,8,23869.28,1421
25,C29-500264,2,20980.94,12481
25,C29-700105,5,72200,1610
25,C37-500419,7,112041.35,1755
25,C87-200404,1,60170.81,4756
25,CB-LS01-0700,161,101430,25056
25,S06-010053,4,32748.86,6464
25,S10-020027,143,85603.26,7263
25,S23-170301,73,79562.7,30765
25,S23-240014,64,32013.25,8710
26,C24-100504,5,69918.88,1311
26,C24-700110,72,209545.24,1421
26,C29-500264,7,73870.8,12481
26,C29-700105,5,72200,1610
26,C37-500419,16,255822.49,1755
26,C87-200404,5,300478.17,4756
26,CB-LS01-0700,153,96390,25056
26,S02-060500,2,51513.72,6345
26,S06-010053,2,16400,6464
26,S10-020027,134,80327.74,7263
26,S23-170301,101,110079.9,30765
26,S23-240014,93,46589.09,8710
27,C04-400301,2,24800,32814
27,C24-100504,4,55935.1,1311
27,C24-700110,28,68289.04,1421
27,C29-500264,9,96027.84,12481
27,C29-700105,4,57760,1610
27,C37-500419,6,95896.89,1755
27,C87-200404,4,236315.78,4756
27,CB-LS01-0700,185,116550,25056
27,S02-060500,2,51513.74,6345
27,S06-010053,9,73800,6464
27,S10-020027,128,76788.8,7263
27,S23-170301,128,139507.2,30765
27,S23-240014,91,45584.65,8710
28,C04-400301,2,24800,32814
28,C24-100504,5,70026.02,1311
28,C24-700110,20,45523.4,1421
28,C29-500264,1,10416.42,12481
28,C29-700105,5,72200,1610
28,C37-500419,2,31964.74,1755
28,C87-200404,1,59886.32,4756
28,CB-LS01-0700,133,83790,25056
28,S02-060500,2,51513.72,6345
28,S06-010053,2,16400,6464
28,S10-020027,90,53995.25,7263
28,S23-170301,79,86102.1,30765
28,S23-240014,30,15027.32,8710
29,C04-400301,4,49600,32814
29,C24-100504,3,42058.47,1311
29,C24-700110,40,91046.48,1421
29,C29-500264,8,73333.12,12481
29,C29-700105,3,43320,1610
29,C37-500419,2,31715.95,1755
29,C87-200404,1,59886.31,4756
29,CB-LS01-0700,137,84749.48,25056
29,S02-060500,2,54064.5,6345
29,S10-020027,59,35399.23,7263
29,S23-170301,101,110079.9,30765
29,S23-240014,33,16500.91,8710
30,C04-400301,4,49600,32814
30,C24-100504,3,42058.47,1311
30,C24-700110,64,145674.24,1421
30,C29-500264,12,129214.93,12481
30,C29-700105,3,43320,1610
30,C37-500419,6,94768.86,1755
30,C87-200404,3,179658.95,4756
30,CB-LS01-0700,134,81608.09,25056
30,S02-060500,2,54064.5,6345
30,S06-010053,5,41000,6464
30,S10-020027,65,38999.61,7263
30,S23-170301,98,106810.2,30765
30,S23-240014,89,44500,8710
31,C04-400301,16,139289.78,32814
31,C24-100504,2,28038.98,1311
31,C24-700110,16,36769.04,1421
31,C29-500264,6,67491.66,12481
31,C29-700105,2,28880,1610
31,C37-500419,2,31126.42,1755
31,C87-200404,1,59495.44,4756
31,CB-LS01-0700,194,117366.45,25056
31,S02-060500,6,166074.3,6345
31,S06-010053,5,41000,6464
31,S10-020027,116,69599.42,7263
31,S23-170301,160,174384,30765
31,S23-240014,168,84713.34,8710
32,C04-400301,6,52223.44,32814
32,C24-100504,5,67974.48,1311
32,C24-700110,36,82739.76,1421
32,C29-500264,7,76352.25,12481
32,C29-700105,8,112182.86,1610
32,C37-500419,1,15563.21,1755
32,C87-200404,4,234807.44,4756
32,CB-LS01-0700,182,115913.05,25056
32,S02-060500,6,173281.5,6345
32,S06-010053,8,64950,6464
32,S10-020027,105,66923.66,7263
32,S23-170301,112,122068.8,30765
32,S23-240014,94,48544.26,8710
33,C04-400301,4,33672.32,32814
33,C24-100504,1,13563.44,1311
33,C24-700110,19,43622.67,1421
33,C29-500264,2,22036,12481
33,C29-700105,1,14211.43,1610
33,C37-500419,7,108131.83,1755
33,C87-200404,1,57980.43,4756
33,CB-LS01-0700,136,86904,25056
33,S02-060500,4,115035.92,6345
33,S06-010053,2,16237.5,6464
33,S10-020027,79,50733.39,7263
33,S23-170301,100,108990,30765
33,S23-240014,71,36761.53,8710
34,C04-400301,10,78173.1,32814
34,C24-100504,4,54253.76,1311
34,C24-700110,44,101020.92,1421
34,C29-500264,4,44700,12481
34,C29-700105,4,57353.64,1610
34,C37-500419,1,15447.4,1755
34,C87-200404,1,57980.43,4756
34,CB-LS01-0700,150,95850,25056
34,S02-060500,2,57367.8,6345
34,S06-010053,9,73800,6464
34,S10-020027,104,67266.97,7263
34,S23-170301,82,89371.8,30765
34,S23-240014,113,59947.39,8710
35,C04-400301,8,61686.52,32814
35,C24-100504,4,54075.23,1311
35,C24-700110,44,100941.84,1421
35,C29-500264,3,33307.05,12481
35,C29-700105,4,57353.66,1610
35,C87-200404,1,57980.43,4756
35,CB-LS01-0700,142,90738,25056
35,S02-060500,6,172103.42,6345
35,S06-010053,10,82000,6464
35,S10-020027,96,62227.99,7263
35,S23-170301,103,112259.7,30765
35,S23-240014,128,70312.43,8710
36,C04-400301,12,92071.86,32814
36,C24-100504,2,26948.34,1311
36,C24-700110,64,145674.24,1421
36,C29-700105,1,14338.41,1610
36,CB-LS01-0700,160,102240,25056
36,S06-010053,13,106600,6464
36,S10-020027,108,70145.12,7263
36,S23-170301,108,117709.2,30765
36,S23-240014,100,54994.04,8710
37,C04-400301,6,46513.98,32814
37,C24-100504,3,40315.89,1311
37,C24-700110,20,45523.2,1421
37,C29-500264,1,11034.13,12481
37,C29-700105,2,28880,1610
37,CB-LS01-0700,105,67095,25056
37,S02-060500,7,200787.32,6345
37,S06-010053,5,41000,6464
37,S10-020027,105,68248.65,7263
37,S23-170301,107,116619.3,30765
37,S23-240014,124,68189.19,8710
